Unnamed: 0,id,site,campaign,ephemeroptera,plecoptera,trichoptera
108,48.0,fao,spring,0.0,15.0,2.0
109,20.0,fao,spring,0.0,11.0,1.0
110,16.0,fao,spring,2.0,3.0,2.0
111,17.0,fao,spring,0.0,15.0,2.0
112,2.0,fao,spring,0.0,0.0,1.0
113,1.0,fao,spring,0.0,6.0,0.0
114,24.0,fao,spring,0.0,21.0,0.0
115,23.0,fao,spring,0.0,28.0,0.0
116,22.0,fao,spring,2.0,4.0,1.0
117,52.0,fao,spring,1.0,5.0,2.0
118,15.0,fao,spring,1.0,2.0,0.0
119,18.0,fao,spring,0.0,20.0,3.0
120,13.0,fao,spring,2.0,7.0,2.0
121,14.0,fao,spring,3.0,5.0,2.0
122,12.0,fao,spring,1.0,21.0,1.0
123,10.0,fao,spring,3.0,11.0,1.0
124,26.0,fao,spring,0.0,11.0,0.0
125,3.0,fao,spring,0.0,1.0,0.0
126,27.0,fao,spring,0.0,7.0,0.0
127,4.0,fao,spring,0.0,1.0,0.0
128,28.0,fao,spring,0.0,0.0,0.0
129,8.0,fao,spring,1.0,7.0,1.0
130,9.0,fao,spring,0.0,5.0,1.0
131,11.0,fao,spring,0.0,2.0,4.0
132,7.0,fao,spring,0.0,14.0,3.0
133,6.0,fao,spring,0.0,7.0,1.0
134,5.0,fao,spring,0.0,1.0,0.0
135,43.0,fao,spring,0.0,23.0,2.0
136,44.0,fao,spring,0.0,37.0,1.0
137,42.0,fao,spring,0.0,2.0,1.0
138,41.0,fao,spring,0.0,3.0,1.0
139,37.0,fao,spring,0.0,2.0,1.0
140,40.0,fao,spring,0.0,4.0,10.0
141,36.0,fao,spring,0.0,2.0,0.0
142,38.0,fao,spring,0.0,4.0,0.0
143,35.0,fao,spring,0.0,3.0,0.0
144,32.0,fao,spring,0.0,0.0,4.0
145,46.0,fao,spring,1.0,9.0,4.0
146,47.0,fao,spring,0.0,11.0,2.0
147,39.0,fao,spring,1.0,0.0,1.0
148,33.0,fao,spring,0.0,0.0,0.0
149,31.0,fao,spring,0.0,5.0,1.0
150,30.0,fao,spring,0.0,5.0,3.0
151,25.0,fao,spring,0.0,4.0,0.0
153,5.0,timbertiere,spring,4.0,26.0,1.0
154,6.0,timbertiere,spring,0.0,11.0,0.0
155,4.0,timbertiere,spring,4.0,11.0,1.0
156,7.0,timbertiere,spring,8.0,11.0,2.0
157,3.0,timbertiere,spring,0.0,2.0,0.0
158,13.0,timbertiere,spring,2.0,3.0,0.0
159,2.0,timbertiere,spring,0.0,1.0,1.0
160,1.0,timbertiere,spring,0.0,0.0,0.0
161,26.0,timbertiere,spring,0.0,0.0,0.0
162,20.0,timbertiere,spring,0.0,0.0,0.0
163,12.0,timbertiere,spring,0.0,2.0,0.0
164,11.0,timbertiere,spring,0.0,2.0,0.0
165,9.0,timbertiere,spring,0.0,2.0,1.0
166,10.0,timbertiere,spring,0.0,1.0,0.0
167,8.0,timbertiere,spring,0.0,1.0,0.0
168,15.0,timbertiere,spring,0.0,3.0,4.0
169,14.0,timbertiere,spring,0.0,15.0,1.0
170,16.0,timbertiere,spring,7.0,3.0,2.0
171,33.0,timbertiere,spring,1.0,0.0,0.0
172,19.0,timbertiere,spring,1.0,3.0,1.0
173,32.0,timbertiere,spring,0.0,0.0,0.0
174,38.0,timbertiere,spring,1.0,5.0,3.0
175,31.0,timbertiere,spring,0.0,4.0,0.0
176,30.0,timbertiere,spring,8.0,4.0,0.0
177,28.0,timbertiere,spring,0.0,4.0,2.0
178,29.0,timbertiere,spring,0.0,7.0,0.0
179,25.0,timbertiere,spring,1.0,3.0,0.0
180,21.0,timbertiere,spring,0.0,0.0,2.0
181,27.0,timbertiere,spring,0.0,0.0,0.0
182,22.0,timbertiere,spring,2.0,4.0,0.0
183,24.0,timbertiere,spring,0.0,0.0,0.0
184,23.0,timbertiere,spring,0.0,17.0,0.0
185,48.0,timbertiere,spring,0.0,3.0,3.0
186,49.0,timbertiere,spring,0.0,1.0,1.0
187,46.0,timbertiere,spring,1.0,5.0,2.0
188,45.0,timbertiere,spring,0.0,0.0,0.0
189,34.0,timbertiere,spring,0.0,0.0,0.0
190,35.0,timbertiere,spring,0.0,1.0,0.0
191,39.0,timbertiere,spring,0.0,0.0,1.0
192,40.0,timbertiere,spring,0.0,0.0,0.0
193,44.0,timbertiere,spring,1.0,3.0,7.0
194,43.0,timbertiere,spring,0.0,4.0,1.0
195,47.0,timbertiere,spring,0.0,2.0,2.0
196,18.0,timbertiere,spring,2.0,21.0,3.0
197,17.0,timbertiere,spring,1.0,5.0,3.0
198,50.0,timbertiere,spring,0.0,2.0,5.0
199,36.0,timbertiere,spring,0.0,0.0,0.0
200,41.0,timbertiere,spring,0.0,1.0,1.0
201,42.0,timbertiere,spring,0.0,0.0,1.0
202,37.0,timbertiere,spring,3.0,4.0,0.0
203,33.0,cisse,spring,1.0,0.0,2.0
204,2.0,cisse,spring,0.0,1.0,2.0
205,32.0,cisse,spring,0.0,0.0,0.0
206,11.0,cisse,spring,2.0,0.0,0.0
207,3.0,cisse,spring,1.0,0.0,0.0
208,5.0,cisse,spring,1.0,0.0,1.0
209,4.0,cisse,spring,3.0,0.0,1.0
210,30.0,cisse,spring,0.0,0.0,0.0
211,9.0,cisse,spring,0.0,0.0,20.0
212,7.0,cisse,spring,0.0,0.0,0.0
213,34.0,cisse,spring,1.0,0.0,0.0
214,31.0,cisse,spring,0.0,0.0,0.0
215,28.0,cisse,spring,0.0,0.0,0.0
216,29.0,cisse,spring,0.0,3.0,0.0
217,27.0,cisse,spring,0.0,0.0,0.0
218,26.0,cisse,spring,0.0,0.0,0.0
219,6.0,cisse,spring,0.0,0.0,0.0
220,52.0,cisse,spring,0.0,0.0,0.0
221,42.0,cisse,spring,0.0,0.0,1.0
222,41.0,cisse,spring,0.0,0.0,0.0
223,49.0,cisse,spring,2.0,2.0,1.0
224,50.0,cisse,spring,0.0,0.0,1.0
225,51.0,cisse,spring,0.0,0.0,8.0
226,47.0,cisse,spring,0.0,7.0,2.0
227,45.0,cisse,spring,0.0,0.0,0.0
228,46.0,cisse,spring,0.0,3.0,0.0
229,48.0,cisse,spring,0.0,0.0,0.0
230,39.0,cisse,spring,0.0,0.0,1.0
231,44.0,cisse,spring,0.0,1.0,0.0
232,40.0,cisse,spring,0.0,0.0,0.0
233,37.0,cisse,spring,0.0,0.0,0.0
234,38.0,cisse,spring,0.0,0.0,1.0
235,22.0,cisse,spring,0.0,0.0,0.0
236,21.0,cisse,spring,0.0,0.0,0.0
237,18.0,cisse,spring,0.0,0.0,1.0
238,20.0,cisse,spring,0.0,0.0,0.0
239,17.0,cisse,spring,0.0,0.0,0.0
240,16.0,cisse,spring,0.0,0.0,0.0
241,19.0,cisse,spring,0.0,0.0,0.0
242,15.0,cisse,spring,0.0,0.0,75.0
243,13.0,cisse,spring,0.0,0.0,0.0
244,12.0,cisse,spring,0.0,0.0,0.0
245,10.0,cisse,spring,0.0,0.0,0.0
246,25.0,cisse,spring,3.0,0.0,0.0
247,24.0,cisse,spring,0.0,0.0,0.0
248,23.0,cisse,spring,0.0,0.0,0.0
249,43.0,cisse,spring,0.0,0.0,0.0
250,14.0,cisse,spring,0.0,0.0,1.0
251,36.0,cisse,spring,0.0,0.0,0.0
252,35.0,cisse,spring,0.0,0.0,0.0
253,35.0,louroux,spring,0.0,0.0,0.0
254,34.0,louroux,spring,0.0,0.0,0.0
255,33.0,louroux,spring,0.0,0.0,0.0
256,38.0,louroux,spring,0.0,0.0,0.0
257,36.0,louroux,spring,0.0,0.0,0.0
258,39.0,louroux,spring,0.0,0.0,0.0
259,40.0,louroux,spring,0.0,0.0,0.0
260,8.0,louroux,spring,0.0,0.0,0.0
261,1.0,louroux,spring,0.0,0.0,0.0
262,2.0,louroux,spring,0.0,0.0,0.0
263,4.0,louroux,spring,0.0,0.0,3.0
264,5.0,louroux,spring,0.0,0.0,6.0
265,13.0,louroux,spring,0.0,0.0,0.0
266,6.0,louroux,spring,0.0,0.0,0.0
267,7.0,louroux,spring,0.0,0.0,4.0
268,12.0,louroux,spring,1.0,0.0,0.0
269,9.0,louroux,spring,0.0,0.0,0.0
270,11.0,louroux,spring,0.0,0.0,0.0
271,48.0,louroux,spring,0.0,0.0,0.0
272,47.0,louroux,spring,0.0,0.0,0.0
273,43.0,louroux,spring,0.0,0.0,0.0
274,37.0,louroux,spring,0.0,0.0,0.0
275,44.0,louroux,spring,0.0,0.0,0.0
276,45.0,louroux,spring,0.0,0.0,1.0
277,46.0,louroux,spring,0.0,0.0,0.0
278,22.0,louroux,spring,0.0,0.0,0.0
279,42.0,louroux,spring,0.0,0.0,0.0
280,49.0,louroux,spring,0.0,0.0,1.0
281,19.0,louroux,spring,0.0,0.0,0.0
282,18.0,louroux,spring,0.0,0.0,0.0
283,21.0,louroux,spring,0.0,0.0,1.0
284,20.0,louroux,spring,0.0,0.0,0.0
285,17.0,louroux,spring,0.0,0.0,0.0
286,32.0,louroux,spring,0.0,0.0,0.0
287,31.0,louroux,spring,0.0,0.0,0.0
288,28.0,louroux,spring,0.0,0.0,0.0
289,30.0,louroux,spring,0.0,0.0,0.0
290,41.0,louroux,spring,0.0,0.0,0.0
291,16.0,louroux,spring,0.0,0.0,1.0
292,14.0,louroux,spring,0.0,0.0,0.0
293,51.0,louroux,spring,0.0,0.0,0.0
294,50.0,louroux,spring,0.0,0.0,0.0
295,52.0,louroux,spring,0.0,0.0,0.0
296,53.0,louroux,spring,0.0,0.0,0.0
297,29.0,louroux,spring,0.0,0.0,0.0
298,27.0,louroux,spring,0.0,0.0,0.0
299,26.0,louroux,spring,0.0,0.0,0.0
300,25.0,louroux,spring,0.0,0.0,0.0
301,24.0,louroux,spring,0.0,0.0,0.0
302,23.0,louroux,spring,0.0,0.0,0.0
